sfp;ds;slp;slp;slp;ds;sfp;ds;sfp;slp;ds;sfp;sfp;sfp;ds;sfp;sfp;sfp;ds;sfp;slp;slp;ds;slp;ds;sfp;slp;ds;ds;slp;ds;sfp;sfp;slp;ds;slp;slp;slp;slp;slp;ds;ds;sfp;slp;ds;ds;ds;sfp;ds;slp;ds;sfp;ds;sfp;slp;sfp;ds;ds;slp;sfp;sfp;slp;sfp;ds;ds;slp;ds;ds;sfp;slp;ds;slp;sfp;ds;slp;ds;slp;sfp;sfp;ds;sfp;slp;slp;sfp;sfp;ds;ds;ds;sfp;slp;sfp;slp;ds;sfp;sfp;sfp;sfp;sfp;ds;ds;,rp;il(38):rp:dr;il(27):rp:dr;il(46):dr:dr;ds(0:dr:rp;lf(63):dr:rp;il(68):rp:dr;ds(31:dr:rp;il(45):rp:dr;ds(92:dr:rp;ds(29:rp:dr;dr;il(99):dr:rp;dr;dr;il(10):dr:rp;il(4):rp:rp;lf(0):rp:dr;ds(61:dr:rp;lf(78):rp:dr;lf(87):dr:dr;lf(90):rp:rp;lf(54):dr:rp;il(4):dr:dr;lf(19):dr:dr;lf(9):rp:dr;il(80):rp:dr;lf(55):rp:rp;il(47):rp:dr;dr;ds(32:dr:dr;lf(1):dr:rp;rp;lf(45):dr:rp;il(0):rp:rp;ds(13:dr:dr;rp;lf(78):dr:rp;rp;rp;il(62):rp:rp;il(35):rp:dr;lf(12):dr:rp;ds(99:rp:rp;lf(63):dr:rp;il(62):dr:rp;il(79):dr:dr;rp;ds(19:dr:rp;dr;dr;ds(37:rp:dr;il(86):dr:rp;dr;il(87):rp:dr;dr;il(47):dr:dr;ds(20:rp:dr;rp;lf(24):dr:dr;dr;lf(1):rp:dr;il(4):rp:rp;il(35):dr:dr;ds(94:rp:rp;il(56):rp:dr;lf(44):rp:dr;lf(45):rp:dr;dr;rp;rp;lf(14):rp:rp;ds(98:dr:rp;il(69):dr:dr;rp;il(96):dr:rp;ds(22:rp:dr;dr;dr;lf(30):rp:rp;lf(62):dr:rp;rp;ds(20:dr:dr;rp;lf(42):dr:rp;ds(93:dr:rp;ds(53:rp:rp;il(19):rp:dr;dr;dr;il(82):dr:dr;il(18):dr:rp;lf(44):rp:dr;lf(50):rp:dr;rp;il(79):rp:rp;ds(67:rp:rp;lf(92):rp:rp;il(31):rp:rp;ds(74:rp:rp;,4237
sfp;ds;ds;sfp;slp;slp;ds;sfp;sfp;ds;slp;slp;slp;slp;slp;ds;ds;slp;ds;sfp;sfp;sfp;sfp;ds;ds;ds;sfp;sfp;sfp;ds;slp;slp;ds;ds;slp;sfp;ds;slp;ds;slp;sfp;ds;ds;sfp;slp;sfp;sfp;ds;ds;sfp;slp;sfp;sfp;slp;slp;sfp;ds;sfp;slp;ds;slp;slp;ds;slp;ds;slp;ds;sfp;sfp;sfp;ds;sfp;ds;ds;slp;sfp;sfp;slp;slp;sfp;slp;slp;slp;slp;slp;ds;sfp;ds;slp;sfp;slp;slp;slp;ds;sfp;ds;sfp;ds;slp;slp;,rp;lf(99):dr:dr;lf(64):dr:dr;il(23):dr:dr;ds(75:rp:rp;il(30):rp:dr;ds(47:rp:dr;il(88):rp:rp;ds(87:rp:dr;il(27):dr:rp;il(93):dr:dr;ds(30:dr:dr;rp;lf(12):dr:rp;il(25):dr:dr;ds(44:rp:dr;rp;il(46):rp:rp;lf(98):dr:rp;il(85):rp:rp;il(97):dr:dr;il(22):dr:rp;ds(46:rp:dr;ds(69:rp:dr;ds(53:rp:dr;rp;ds(98:rp:rp;ds(97:dr:dr;lf(88):rp:dr;il(98):dr:dr;ds(94:dr:rp;il(87):dr:rp;il(32):dr:rp;lf(48):dr:dr;il(83):dr:dr;rp;ds(95:dr:rp;ds(70:rp:dr;ds(21:rp:rp;ds(64:dr:rp;ds(46:rp:rp;ds(14:dr:dr;ds(91:dr:dr;dr;il(90):dr:rp;ds(74:rp:rp;lf(1):rp:rp;ds(4:rp:dr;dr;lf(95):rp:rp;ds(84:rp:rp;il(82):dr:dr;rp;lf(28):rp:dr;ds(6:rp:dr;lf(94):rp:rp;lf(63):dr:rp;rp;lf(82):dr:rp;ds(42:rp:rp;ds(46:dr:rp;ds(4:dr:dr;lf(45):dr:rp;ds(30:dr:dr;il(43):rp:rp;ds(23:rp:dr;ds(41:rp:rp;lf(62):dr:dr;ds(8:rp:rp;rp;il(47):dr:rp;ds(45:dr:dr;lf(16):dr:dr;il(71):rp:dr;il(83):rp:rp;il(34):rp:rp;il(8):dr:dr;ds(6:dr:rp;ds(19:rp:dr;lf(81):dr:rp;dr;il(52):rp:rp;lf(63):dr:dr;lf(18):dr:rp;ds(38:rp:dr;lf(51):rp:dr;dr;ds(87:rp:rp;ds(93:rp:rp;ds(65:dr:dr;dr;ds(9:dr:dr;lf(65):dr:dr;il(99):rp:rp;lf(24):rp:dr;il(47):dr:dr;ds(29:dr:rp;lf(43):rp:dr;ds(44:dr:rp;ds(55:rp:rp;,5350
ds;slp;ds;slp;ds;sfp;sfp;slp;ds;ds;sfp;slp;sfp;sfp;sfp;ds;sfp;ds;ds;sfp;ds;sfp;ds;slp;ds;sfp;ds;sfp;slp;ds;slp;sfp;ds;sfp;slp;slp;ds;slp;sfp;sfp;ds;sfp;sfp;ds;ds;ds;sfp;ds;slp;ds;sfp;sfp;slp;slp;ds;ds;sfp;slp;sfp;slp;ds;slp;ds;ds;ds;slp;slp;slp;sfp;slp;sfp;ds;slp;ds;ds;slp;sfp;sfp;slp;sfp;ds;sfp;ds;slp;slp;sfp;slp;slp;sfp;slp;slp;ds;sfp;sfp;sfp;ds;slp;sfp;sfp;slp;,lf(86):rp:rp;ds(67:dr:dr;ds(18:dr:dr;rp;ds(22:rp:dr;lf(80):rp:rp;lf(32):dr:dr;rp;ds(81:dr:rp;rp;il(56):dr:dr;il(33):rp:dr;il(93):dr:dr;il(52):rp:rp;ds(49:rp:dr;lf(70):rp:dr;rp;il(67):dr:rp;lf(21):rp:rp;ds(92:rp:rp;il(55):dr:rp;ds(31:rp:rp;il(78):dr:rp;il(74):rp:rp;dr;lf(76):dr:dr;lf(77):dr:rp;lf(94):rp:rp;il(46):rp:dr;ds(0:dr:dr;dr;il(81):dr:dr;ds(39:rp:dr;lf(44):rp:dr;lf(86):dr:dr;il(54):dr:rp;rp;ds(1:rp:rp;il(6):rp:rp;il(29):dr:rp;ds(78:rp:rp;il(48):rp:dr;ds(95:dr:rp;il(85):rp:rp;rp;rp;ds(34:dr:rp;il(38):rp:rp;lf(39):dr:rp;ds(88:dr:dr;lf(74):dr:rp;dr;lf(68):rp:rp;il(57):rp:dr;il(65):dr:rp;ds(91:rp:dr;ds(82:dr:dr;ds(65:rp:dr;lf(78):dr:rp;il(12):rp:rp;lf(93):rp:dr;rp;ds(57:rp:dr;lf(48):dr:rp;ds(68:rp:dr;rp;ds(52:rp:dr;rp;il(13):rp:rp;lf(30):dr:dr;il(71):rp:dr;il(91):rp:rp;dr;lf(86):dr:rp;ds(14:dr:dr;ds(23:dr:rp;rp;il(66):dr:dr;ds(98:rp:rp;dr;il(24):rp:rp;il(5):rp:dr;ds(1:rp:dr;rp;dr;ds(66:rp:dr;ds(8:dr:rp;lf(9):dr:rp;lf(64):rp:rp;ds(53:dr:rp;ds(92:rp:rp;il(61):rp:rp;il(4):dr:rp;ds(14:rp:dr;dr;lf(26):rp:rp;lf(62):rp:dr;il(80):dr:rp;lf(8):dr:dr;il(9):dr:rp;,4515
slp;sfp;slp;sfp;ds;ds;ds;slp;sfp;ds;sfp;slp;sfp;ds;slp;ds;ds;ds;sfp;slp;ds;slp;ds;ds;ds;slp;ds;slp;slp;sfp;slp;ds;ds;ds;slp;sfp;slp;slp;sfp;slp;ds;slp;ds;slp;ds;ds;sfp;ds;sfp;sfp;sfp;ds;slp;slp;sfp;sfp;sfp;ds;ds;slp;sfp;slp;sfp;slp;sfp;ds;ds;slp;sfp;slp;sfp;ds;sfp;slp;ds;ds;sfp;ds;ds;ds;sfp;ds;slp;slp;slp;slp;ds;ds;slp;ds;ds;sfp;slp;slp;slp;ds;slp;ds;sfp;sfp;,ds(86:dr:rp;dr;lf(99):rp:rp;il(74):dr:dr;il(93):rp:dr;dr;lf(96):rp:dr;ds(61:rp:dr;dr;dr;lf(45):dr:rp;rp;dr;il(71):rp:rp;il(59):rp:rp;il(74):rp:rp;rp;ds(13:rp:rp;ds(58:rp:rp;lf(78):dr:dr;lf(93):rp:dr;ds(38:rp:rp;dr;ds(52:rp:dr;il(21):dr:dr;rp;ds(94:rp:rp;lf(58):rp:rp;dr;il(25):rp:dr;ds(38:rp:rp;il(51):dr:dr;ds(19:rp:dr;ds(18:dr:dr;lf(33):dr:dr;dr;lf(91):rp:dr;il(6):rp:rp;il(94):rp:rp;ds(85:rp:rp;ds(49:dr:rp;rp;lf(48):rp:dr;il(64):dr:rp;ds(73:dr:dr;lf(52):rp:rp;lf(57):dr:rp;ds(34:dr:dr;il(67):rp:rp;dr;lf(28):rp:rp;ds(49:rp:dr;il(93):rp:dr;rp;il(66):rp:dr;rp;il(18):rp:dr;ds(25:rp:rp;rp;lf(82):dr:dr;dr;rp;dr;lf(91):dr:rp;il(55):dr:dr;lf(50):rp:rp;ds(40:rp:rp;ds(60:dr:rp;rp;il(76):rp:rp;ds(38:dr:dr;ds(80:rp:dr;rp;il(96):rp:rp;lf(59):rp:rp;ds(4:rp:dr;dr;lf(77):dr:dr;ds(10:dr:dr;il(13):dr:rp;ds(0:dr:dr;ds(91:dr:dr;il(58):dr:rp;il(65):rp:rp;ds(57:dr:rp;lf(44):dr:rp;rp;lf(49):dr:dr;il(80):rp:rp;ds(85:dr:dr;il(0):dr:dr;ds(39:dr:rp;lf(79):rp:rp;lf(29):dr:dr;ds(22:rp:dr;rp;ds(20:rp:rp;ds(87:rp:dr;lf(66):dr:rp;il(76):rp:dr;,5065
sfp;slp;slp;sfp;sfp;ds;sfp;sfp;sfp;sfp;ds;sfp;sfp;slp;sfp;slp;ds;sfp;slp;ds;ds;slp;slp;ds;sfp;ds;ds;sfp;slp;ds;ds;slp;sfp;slp;ds;slp;slp;sfp;sfp;ds;sfp;slp;slp;slp;ds;sfp;ds;sfp;slp;slp;ds;sfp;sfp;ds;slp;sfp;sfp;sfp;sfp;ds;ds;ds;slp;ds;ds;slp;slp;sfp;slp;sfp;ds;slp;slp;slp;slp;sfp;sfp;ds;ds;sfp;ds;ds;sfp;slp;slp;sfp;slp;ds;ds;ds;sfp;slp;slp;ds;ds;ds;sfp;slp;sfp;sfp;,rp;lf(15):rp:rp;il(74):rp:rp;il(64):rp:dr;lf(94):rp:rp;rp;dr;lf(70):rp:dr;ds(40:rp:dr;ds(60:rp:rp;lf(32):rp:rp;lf(19):rp:rp;rp;lf(53):dr:dr;il(8):dr:dr;dr;il(92):dr:dr;il(53):dr:rp;il(77):dr:rp;dr;ds(58:rp:dr;lf(96):rp:rp;lf(84):dr:dr;rp;ds(41:rp:dr;dr;ds(0:dr:rp;il(9):dr:dr;ds(17:rp:dr;dr;lf(38):rp:rp;dr;lf(85):dr:dr;ds(74:rp:rp;rp;ds(80:rp:rp;lf(19):rp:rp;il(73):dr:dr;rp;lf(35):rp:rp;dr;rp;il(9):dr:dr;lf(41):rp:dr;dr;ds(64:dr:dr;dr;il(27):rp:rp;ds(64:rp:dr;il(88):dr:dr;lf(73):rp:dr;dr;dr;rp;ds(71:dr:rp;ds(70:rp:dr;lf(59):dr:dr;ds(83:dr:rp;ds(8:rp:rp;rp;ds(76:rp:dr;lf(0):rp:rp;il(90):dr:dr;il(96):rp:dr;rp;dr;lf(9):rp:dr;lf(38):rp:dr;il(39):rp:dr;il(99):rp:dr;il(32):dr:rp;dr;il(45):dr:rp;lf(36):rp:rp;ds(30:rp:rp;il(47):rp:dr;il(16):dr:rp;dr;rp;rp;dr;il(69):dr:dr;ds(40:dr:rp;ds(98:rp:rp;lf(22):dr:dr;dr;rp;rp;lf(70):dr:rp;ds(1:rp:rp;il(69):rp:rp;ds(69:rp:dr;lf(49):rp:dr;ds(81:rp:rp;ds(49:rp:dr;dr;il(50):dr:dr;lf(79):dr:dr;lf(63):rp:rp;lf(2):dr:rp;,4925
ds;sfp;ds;sfp;ds;sfp;ds;sfp;ds;slp;slp;sfp;slp;sfp;ds;ds;sfp;slp;sfp;slp;slp;sfp;ds;sfp;ds;slp;ds;ds;sfp;slp;ds;sfp;slp;sfp;sfp;ds;slp;sfp;sfp;ds;slp;ds;slp;sfp;sfp;sfp;ds;ds;sfp;ds;slp;sfp;ds;ds;sfp;slp;slp;sfp;slp;ds;ds;sfp;slp;slp;sfp;slp;slp;slp;sfp;slp;sfp;sfp;ds;slp;slp;ds;sfp;sfp;sfp;sfp;slp;sfp;ds;ds;slp;slp;slp;ds;sfp;ds;sfp;ds;slp;ds;slp;slp;slp;ds;sfp;ds;,ds(91:rp:dr;il(8):rp:dr;il(40):dr:rp;ds(14:rp:rp;il(44):dr:rp;ds(0:dr:dr;il(84):rp:rp;il(11):rp:rp;ds(62:dr:dr;dr;rp;il(22):rp:rp;lf(59):dr:rp;ds(65:rp:rp;rp;rp;lf(38):dr:dr;rp;il(10):rp:dr;lf(61):rp:dr;dr;lf(75):dr:dr;rp;il(50):dr:dr;il(41):rp:rp;ds(28:rp:rp;ds(16:dr:dr;rp;lf(45):rp:dr;lf(34):rp:dr;rp;rp;lf(79):dr:rp;il(33):dr:rp;rp;rp;il(88):dr:rp;rp;dr;rp;ds(58:rp:dr;dr;ds(18:rp:dr;lf(8):dr:rp;il(90):dr:rp;ds(91:rp:dr;ds(76:rp:dr;il(4):rp:rp;ds(41:rp:dr;il(86):rp:rp;rp;ds(67:dr:dr;il(45):rp:dr;il(0):dr:dr;lf(71):rp:dr;dr;lf(8):rp:rp;il(18):dr:rp;ds(25:rp:dr;il(64):rp:dr;lf(46):rp:dr;lf(2):dr:rp;lf(2):dr:dr;il(74):rp:dr;dr;ds(29:dr:rp;ds(34:dr:rp;il(47):dr:dr;lf(44):dr:dr;lf(58):rp:dr;dr;rp;rp;dr;ds(95:dr:rp;il(11):dr:rp;ds(96:rp:rp;ds(90:dr:rp;il(0):dr:dr;il(41):rp:rp;il(11):dr:rp;lf(32):rp:rp;lf(85):rp:dr;il(34):dr:rp;ds(8:rp:rp;rp;ds(74:dr:rp;lf(22):dr:rp;dr;il(25):dr:rp;ds(30:rp:dr;lf(7):dr:dr;rp;rp;ds(42:rp:dr;ds(32:rp:dr;dr;ds(34:dr:dr;il(33):rp:dr;dr;,4716
slp;slp;sfp;sfp;slp;ds;sfp;ds;ds;sfp;slp;ds;sfp;slp;ds;ds;ds;sfp;ds;ds;slp;slp;slp;sfp;slp;ds;sfp;sfp;slp;ds;slp;ds;sfp;sfp;sfp;ds;ds;ds;slp;ds;sfp;slp;slp;slp;ds;sfp;slp;slp;ds;sfp;ds;sfp;sfp;sfp;slp;sfp;slp;ds;ds;slp;slp;slp;sfp;sfp;ds;ds;ds;ds;slp;ds;sfp;slp;sfp;slp;sfp;slp;ds;ds;slp;sfp;ds;slp;sfp;sfp;ds;ds;sfp;slp;ds;sfp;sfp;slp;slp;slp;slp;slp;ds;sfp;ds;ds;,il(3):dr:dr;ds(37:rp:dr;lf(75):dr:dr;ds(30:dr:rp;il(50):dr:dr;lf(99):rp:dr;rp;il(65):rp:dr;rp;dr;rp;lf(31):dr:dr;il(37):rp:dr;ds(24:rp:dr;ds(82:rp:dr;lf(17):rp:rp;ds(71:dr:dr;rp;dr;rp;rp;dr;il(61):rp:rp;il(23):dr:dr;il(50):dr:rp;dr;lf(39):rp:rp;ds(24:dr:rp;dr;il(85):dr:rp;il(83):rp:dr;dr;il(11):rp:rp;il(96):dr:rp;rp;lf(41):dr:rp;lf(22):dr:dr;il(88):dr:dr;rp;lf(23):dr:dr;rp;ds(75:rp:rp;dr;ds(93:dr:dr;il(23):dr:rp;lf(79):rp:dr;lf(2):dr:dr;dr;lf(90):rp:rp;lf(81):dr:dr;ds(35:rp:rp;lf(38):dr:dr;lf(56):dr:rp;il(72):dr:dr;il(76):dr:dr;ds(28:dr:rp;ds(40:dr:rp;ds(9:rp:rp;rp;il(46):rp:rp;lf(29):rp:dr;rp;il(29):dr:dr;ds(37:rp:rp;rp;ds(46:rp:dr;dr;il(44):dr:rp;ds(34:dr:dr;rp;ds(8:dr:dr;ds(88:dr:dr;ds(54:dr:rp;dr;lf(70):rp:dr;rp;rp;lf(41):rp:dr;il(78):dr:rp;lf(9):rp:rp;lf(93):rp:rp;dr;il(12):rp:dr;dr;il(99):rp:rp;lf(54):dr:rp;lf(77):rp:rp;ds(71:dr:rp;dr;lf(53):rp:dr;dr;lf(12):dr:rp;il(91):dr:rp;ds(12:dr:rp;dr;il(33):dr:dr;rp;ds(55:rp:rp;lf(62):dr:dr;dr;,5065
sfp;sfp;sfp;slp;sfp;ds;sfp;sfp;slp;ds;slp;slp;slp;slp;ds;slp;ds;ds;ds;sfp;sfp;sfp;ds;sfp;slp;sfp;slp;slp;ds;sfp;ds;ds;slp;sfp;slp;ds;sfp;sfp;sfp;sfp;slp;slp;sfp;ds;sfp;ds;slp;sfp;slp;sfp;slp;ds;sfp;sfp;sfp;ds;ds;sfp;ds;ds;sfp;sfp;ds;sfp;slp;slp;slp;sfp;ds;ds;sfp;sfp;sfp;sfp;slp;ds;ds;sfp;sfp;sfp;ds;sfp;sfp;sfp;sfp;sfp;ds;sfp;sfp;sfp;sfp;ds;sfp;ds;ds;sfp;slp;sfp;slp;sfp;,dr;dr;ds(95:rp:dr;ds(96:dr:dr;rp;ds(58:rp:dr;dr;ds(34:dr:dr;ds(91:rp:dr;rp;dr;ds(14:rp:rp;lf(39):dr:rp;lf(97):rp:rp;rp;ds(39:dr:rp;ds(17:rp:dr;lf(12):rp:rp;rp;rp;lf(14):rp:rp;il(75):dr:dr;il(8):dr:rp;il(40):dr:rp;lf(2):rp:rp;lf(58):dr:rp;lf(55):rp:dr;lf(59):rp:dr;rp;ds(30:dr:dr;il(35):dr:rp;ds(96:rp:rp;rp;rp;ds(15:rp:rp;rp;il(68):rp:dr;ds(5:rp:rp;lf(25):rp:rp;lf(58):dr:dr;dr;rp;ds(81:dr:rp;lf(8):dr:rp;ds(29:rp:dr;rp;lf(84):dr:dr;rp;il(94):rp:dr;lf(28):rp:rp;il(10):rp:rp;ds(79:dr:rp;ds(93:rp:dr;il(54):rp:rp;lf(89):dr:rp;il(0):dr:rp;dr;ds(43:dr:rp;il(90):rp:dr;lf(48):dr:rp;lf(69):dr:rp;il(7):rp:rp;ds(86:dr:dr;dr;lf(31):dr:rp;il(20):dr:rp;rp;lf(74):rp:rp;lf(74):dr:dr;ds(58:rp:rp;ds(11:rp:rp;lf(67):rp:rp;lf(71):rp:rp;lf(64):dr:dr;lf(41):rp:rp;dr;lf(95):dr:rp;il(88):rp:dr;ds(74:rp:dr;lf(66):dr:dr;lf(7):dr:rp;il(16):dr:rp;il(13):dr:dr;ds(26:dr:rp;lf(2):dr:rp;ds(84:dr:rp;ds(77:dr:dr;ds(11:dr:rp;lf(10):dr:rp;lf(52):rp:rp;il(94):rp:dr;ds(98:rp:rp;il(98):rp:dr;dr;il(77):rp:rp;ds(85:rp:rp;ds(87:rp:rp;rp;lf(60):rp:rp;ds(55:dr:dr;,3370
slp;slp;ds;slp;sfp;sfp;ds;slp;ds;ds;ds;ds;ds;slp;slp;ds;ds;sfp;ds;ds;slp;sfp;slp;ds;ds;sfp;slp;slp;slp;sfp;slp;sfp;ds;sfp;ds;slp;slp;ds;slp;sfp;ds;sfp;slp;ds;sfp;slp;sfp;sfp;slp;sfp;slp;sfp;ds;sfp;sfp;ds;ds;ds;ds;slp;slp;ds;ds;sfp;ds;sfp;slp;sfp;ds;sfp;slp;ds;sfp;sfp;sfp;sfp;ds;sfp;ds;sfp;sfp;slp;slp;sfp;sfp;ds;slp;sfp;slp;ds;sfp;ds;slp;sfp;ds;ds;sfp;sfp;ds;sfp;,lf(76):dr:dr;il(4):rp:dr;dr;rp;lf(96):dr:rp;lf(93):rp:rp;il(61):dr:dr;lf(74):rp:rp;il(91):dr:dr;lf(46):dr:dr;lf(74):rp:rp;lf(90):rp:dr;lf(25):dr:rp;ds(85:rp:rp;dr;dr;il(17):dr:rp;rp;ds(37:rp:rp;il(42):rp:dr;ds(17:dr:rp;ds(18:rp:rp;il(1):rp:rp;il(34):dr:rp;ds(5:rp:dr;ds(20:dr:dr;lf(71):rp:dr;il(37):dr:rp;lf(55):dr:dr;il(67):dr:rp;il(16):rp:dr;ds(83:rp:rp;il(95):rp:rp;dr;ds(90:dr:dr;lf(55):rp:dr;lf(30):dr:dr;ds(0:rp:dr;rp;ds(25:dr:rp;il(74):dr:dr;ds(95:dr:rp;lf(69):dr:rp;dr;rp;il(85):dr:rp;rp;il(33):rp:dr;lf(55):dr:dr;rp;lf(6):rp:rp;il(72):rp:dr;lf(84):dr:dr;il(12):dr:dr;ds(64:rp:rp;rp;rp;il(48):dr:rp;lf(77):dr:rp;lf(93):dr:rp;dr;rp;lf(75):rp:rp;lf(85):rp:rp;ds(9:dr:dr;ds(9:rp:dr;lf(45):dr:rp;dr;ds(24:dr:dr;ds(52:dr:dr;lf(55):rp:dr;lf(59):rp:rp;lf(13):dr:dr;il(87):dr:dr;il(36):dr:dr;il(49):dr:dr;lf(64):rp:dr;dr;dr;rp;lf(37):dr:dr;dr;il(47):rp:dr;lf(35):dr:rp;lf(46):dr:rp;ds(53:dr:rp;lf(21):dr:dr;rp;ds(67:dr:dr;il(46):dr:rp;dr;ds(25:rp:rp;il(1):dr:dr;rp;lf(49):rp:dr;rp;ds(81:dr:rp;lf(70):rp:rp;il(31):rp:dr;lf(50):rp:dr;,4120
slp;ds;slp;sfp;sfp;slp;sfp;slp;slp;slp;ds;slp;sfp;ds;ds;ds;sfp;ds;slp;ds;sfp;ds;ds;slp;ds;sfp;ds;slp;slp;ds;sfp;sfp;ds;slp;sfp;sfp;slp;sfp;ds;slp;slp;ds;sfp;ds;sfp;slp;sfp;ds;ds;sfp;ds;sfp;sfp;sfp;slp;slp;slp;sfp;ds;sfp;ds;sfp;ds;ds;slp;ds;ds;ds;sfp;slp;slp;slp;ds;ds;ds;sfp;slp;sfp;slp;ds;slp;ds;ds;slp;sfp;ds;slp;sfp;ds;slp;slp;ds;slp;ds;sfp;sfp;sfp;sfp;sfp;ds;,lf(8):rp:rp;lf(82):dr:dr;il(72):rp:dr;ds(52:dr:dr;ds(65:dr:dr;ds(64:rp:rp;ds(91:dr:rp;ds(6:dr:dr;rp;il(76):rp:dr;lf(76):rp:dr;il(75):dr:rp;ds(96:dr:rp;rp;il(15):rp:rp;ds(56:dr:dr;il(23):rp:rp;ds(74:dr:rp;il(92):rp:rp;dr;dr;ds(70:rp:rp;lf(30):dr:rp;ds(93:dr:dr;il(24):dr:dr;dr;ds(88:rp:rp;il(78):dr:rp;ds(95:rp:rp;ds(53:dr:rp;dr;ds(42:dr:rp;ds(48:dr:dr;ds(75:dr:rp;il(59):rp:rp;il(36):rp:dr;rp;lf(50):rp:rp;lf(89):rp:rp;ds(54:rp:dr;ds(63:dr:dr;ds(19:dr:rp;il(88):dr:rp;dr;ds(15:rp:rp;lf(11):dr:rp;il(50):rp:rp;lf(83):dr:dr;lf(0):dr:rp;il(66):rp:rp;ds(35:dr:dr;il(82):rp:dr;il(33):dr:dr;ds(29:rp:dr;lf(18):rp:dr;lf(62):rp:rp;lf(28):rp:rp;dr;rp;lf(59):rp:dr;lf(75):rp:dr;lf(75):dr:dr;il(71):dr:rp;lf(86):dr:dr;lf(13):dr:rp;dr;rp;lf(62):dr:dr;dr;rp;dr;il(37):dr:rp;ds(92:rp:dr;dr;rp;ds(24:rp:dr;il(36):rp:rp;ds(34:rp:rp;il(93):rp:rp;lf(42):rp:rp;dr;dr;ds(57:dr:dr;rp;ds(25:dr:rp;lf(77):dr:dr;lf(18):dr:rp;ds(6:rp:dr;il(18):rp:dr;lf(62):dr:dr;lf(99):dr:dr;il(51):rp:dr;il(82):dr:rp;dr;lf(88):rp:dr;rp;rp;lf(71):rp:dr;il(19):rp:dr;il(87):dr:rp;,4563
