dontshare;sharefakeplanet;dontshare;,ifsharedfake(1):dontresearchplanet:dontresearchplanet;ifsharedlegit(2):researchplanet:dontresearchplanet;ifsharedlegit(0):researchplanet:dontresearchplanet;,6446
dontshare;sharelegitplanet;dontshare;,ifsharedfake(0):dontresearchplanet:dontresearchplanet;researchplanet;ifsharedfake(0):dontresearchplanet:researchplanet;,18218
sharefakeplanet;sharefakeplanet;sharefakeplanet;,ifsharedlegit(1):researchplanet:researchplanet;ifdidntshare(1):dontresearchplanet:researchplanet;ifsharedfake(1):researchplanet:dontresearchplanet;,-99
sharefakeplanet;dontshare;sharefakeplanet;,ifsharedlegit(1):researchplanet:researchplanet;ifdidntshare(2):researchplanet:dontresearchplanet;dontresearchplanet;,74
sharelegitplanet;dontshare;dontshare;,ifsharedfake(2):researchplanet:dontresearchplanet;ifsharedlegit(0):researchplanet:researchplanet;researchplanet;,15037
sharelegitplanet;sharefakeplanet;sharefakeplanet;,ifsharedlegit(2):researchplanet:researchplanet;ifdidntshare(2):researchplanet:researchplanet;dontresearchplanet;,14811
sharefakeplanet;sharelegitplanet;sharefakeplanet;,ifsharedlegit(2):researchplanet:dontresearchplanet;researchplanet;ifsharedlegit(2):dontresearchplanet:researchplanet;,11641
sharefakeplanet;sharefakeplanet;sharefakeplanet;,ifdidntshare(1):researchplanet:dontresearchplanet;ifsharedfake(2):researchplanet:dontresearchplanet;ifsharedlegit(1):dontresearchplanet:researchplanet;,-3408
dontshare;sharefakeplanet;sharelegitplanet;,dontresearchplanet;ifdidntshare(2):researchplanet:researchplanet;ifsharedfake(0):researchplanet:dontresearchplanet;,11481
sharefakeplanet;sharelegitplanet;sharelegitplanet;,ifsharedlegit(2):researchplanet:dontresearchplanet;ifdidntshare(0):dontresearchplanet:dontresearchplanet;ifdidntshare(2):dontresearchplanet:researchplanet;,30144
sharelegitplanet;sharefakeplanet;sharelegitplanet;,ifdidntshare(0):researchplanet:dontresearchplanet;ifsharedfake(2):dontresearchplanet:researchplanet;ifsharedlegit(0):researchplanet:researchplanet;,33234
sharelegitplanet;sharefakeplanet;sharefakeplanet;,ifdidntshare(2):researchplanet:researchplanet;ifsharedfake(2):dontresearchplanet:dontresearchplanet;ifsharedfake(0):researchplanet:researchplanet;,14943
dontshare;dontshare;sharelegitplanet;,ifdidntshare(0):dontresearchplanet:dontresearchplanet;researchplanet;ifsharedlegit(1):dontresearchplanet:dontresearchplanet;,14889
sharelegitplanet;dontshare;dontshare;,ifdidntshare(2):dontresearchplanet:dontresearchplanet;ifdidntshare(2):dontresearchplanet:researchplanet;ifdidntshare(0):dontresearchplanet:dontresearchplanet;,14896
sharelegitplanet;dontshare;sharelegitplanet;,ifsharedfake(0):dontresearchplanet:researchplanet;ifsharedfake(1):dontresearchplanet:researchplanet;ifsharedlegit(2):researchplanet:researchplanet;,33314
sharefakeplanet;sharelegitplanet;dontshare;,ifdidntshare(1):dontresearchplanet:researchplanet;ifdidntshare(1):researchplanet:dontresearchplanet;ifsharedlegit(1):researchplanet:dontresearchplanet;,15088
sharelegitplanet;dontshare;dontshare;,ifsharedlegit(0):dontresearchplanet:dontresearchplanet;dontresearchplanet;dontresearchplanet;,14994
sharefakeplanet;sharelegitplanet;dontshare;,ifsharedfake(2):dontresearchplanet:researchplanet;ifsharedfake(0):researchplanet:researchplanet;ifsharedlegit(2):dontresearchplanet:dontresearchplanet;,14951
sharelegitplanet;dontshare;dontshare;,ifsharedfake(2):dontresearchplanet:dontresearchplanet;researchplanet;researchplanet;,14930
dontshare;dontshare;sharefakeplanet;,researchplanet;dontresearchplanet;ifdidntshare(2):dontresearchplanet:dontresearchplanet;,7
sharefakeplanet;sharelegitplanet;dontshare;,ifdidntshare(0):researchplanet:researchplanet;researchplanet;dontresearchplanet;,15058
dontshare;sharelegitplanet;dontshare;,ifsharedlegit(2):dontresearchplanet:researchplanet;ifsharedlegit(0):researchplanet:researchplanet;researchplanet;,15023
