sharedfakeplanets,sharedlegitplanets,didntshare,researched,didntresearch,score
286,386,328,489,511,578522
320,375,305,515,485,561907
312,375,313,509,491,561643
309,374,317,516,484,559646
298,372,330,507,493,556677
314,371,315,505,495,555088
296,368,336,507,493,550568
289,368,343,487,513,550566
301,368,331,487,513,550505
315,368,317,499,501,550293
320,367,313,501,499,549751
334,367,299,485,515,549529
311,367,322,496,504,549443
329,367,304,494,506,548802
301,365,334,534,466,547188
317,364,319,511,489,546314
287,365,348,484,516,546171
324,364,312,502,498,545009
309,363,328,526,474,544099
323,363,314,501,499,544032
319,363,318,488,512,543887
318,364,318,519,481,543660
339,363,298,481,519,543261
331,361,308,492,508,541211
302,361,337,487,513,540634
302,361,337,487,513,540532
312,361,327,531,469,540458
323,361,316,509,491,540329
330,360,310,472,528,540115
302,361,337,487,513,540086
293,361,346,491,509,539971
299,361,340,512,488,539858
323,360,317,515,485,539744
307,360,333,480,520,539607
326,360,314,508,492,539235
324,360,316,483,517,539048
314,360,326,493,507,538716
315,359,326,485,515,538529
312,360,328,499,501,538235
317,360,323,498,502,538205
318,359,323,469,531,537935
312,359,329,534,466,537832
312,359,329,498,502,537369
324,358,318,497,503,536619
318,358,324,475,525,536568
324,358,318,509,491,536369
338,359,303,494,506,536346
306,358,336,494,506,536320
321,358,321,512,488,536120
324,358,318,517,483,536025
319,358,323,519,481,535961
332,358,310,509,491,535856
314,358,328,489,511,535702
316,357,327,503,497,535466
299,358,343,494,506,535402
310,357,333,502,498,535252
326,357,317,513,487,535230
335,357,308,508,492,535222
311,357,332,487,513,535196
315,357,328,508,492,534285
306,357,337,516,484,534168
324,356,320,496,504,533928
327,356,317,510,490,533460
318,356,326,469,531,533439
327,356,317,502,498,533326
316,356,328,498,502,533319
288,356,356,492,508,533068
347,355,298,519,481,532987
312,356,332,485,515,532889
335,356,309,486,514,532663
290,356,354,482,518,532593
304,355,341,512,488,532208
351,355,294,501,499,532198
320,356,324,473,527,531729
340,355,305,517,483,531467
322,355,323,515,485,530914
303,354,343,501,499,530808
332,354,314,485,515,530777
324,355,321,504,496,530765
338,354,308,521,479,530552
348,354,298,524,476,530487
331,354,315,508,492,530357
306,354,340,489,511,530286
335,354,311,475,525,530247
318,354,328,489,511,530200
333,354,313,496,504,530147
320,354,326,530,470,530145
321,354,325,504,496,529999
363,354,283,496,504,529700
332,353,315,524,476,529384
330,353,317,506,494,529185
327,353,320,510,490,529183
325,353,322,513,487,528888
337,353,310,485,515,528680
302,353,345,489,511,528647
315,353,332,485,515,528589
333,353,314,489,511,528568
329,353,318,488,512,528415
321,353,326,495,505,528291
306,353,341,512,488,528186
314,352,334,477,523,527998
343,353,304,524,476,527946
326,353,321,498,502,527859
313,353,334,488,512,527847
315,352,333,498,502,527581
315,352,333,495,505,527486
318,352,330,517,483,527397
315,352,333,476,524,527198
339,352,309,466,534,527102
342,352,306,512,488,527023
305,352,343,539,461,526796
330,352,318,482,518,526793
335,351,314,500,500,526719
329,351,320,507,493,526565
331,352,317,491,509,526225
336,351,313,487,513,525730
310,351,339,486,514,525566
344,351,305,528,472,525444
311,351,338,500,500,525313
307,351,342,504,496,525016
317,350,333,484,516,524818
329,350,321,505,495,524728
326,350,324,500,500,524679
346,350,304,480,520,524611
313,350,337,501,499,524594
327,350,323,497,503,524553
298,350,352,509,491,524504
327,350,323,484,516,524492
358,350,292,487,513,524456
332,350,318,480,520,524237
343,350,307,472,528,524048
314,350,336,518,482,523974
315,350,335,461,539,523744
314,350,336,471,529,523626
337,350,313,492,508,523591
325,349,326,490,510,523413
319,350,331,509,491,523326
312,350,338,487,513,523260
332,350,318,489,511,523250
325,350,325,481,519,523180
331,349,320,518,482,522934
335,349,316,475,525,522881
318,349,333,492,508,522730
344,349,307,494,506,522714
306,349,345,501,499,522680
317,349,334,501,499,522542
321,349,330,514,486,522438
317,349,334,490,510,522437
310,349,341,502,498,522349
